Time, loss, accuracy, validation_loss, validation_accuracy
193, 0.4827, 0.8304 ,0.4238 ,0.8535
191, 0.4841, 0.8305 ,0.4279 ,0.8528
191, 0.4819, 0.8307 ,0.4257 ,0.8533
192, 0.4787, 0.8316 ,0.4215 ,0.8561
193, 0.4757, 0.8315 ,0.4210 ,0.8562
193, 0.4735, 0.8338 ,0.4341 ,0.8525
190, 0.4735, 0.8358 ,0.4360 ,0.8511
191, 0.4686, 0.8351 ,0.4324 ,0.8519
192, 0.4667, 0.8379 ,0.4141 ,0.8601
192, 0.4675, 0.8362 ,0.4259 ,0.8584
192, 0.4644, 0.8365 ,0.4233 ,0.8569
191, 0.4678, 0.8351 ,0.4244 ,0.8517
191, 0.4632, 0.8368 ,0.4261 ,0.8558
190, 0.4642, 0.8356 ,0.4434 ,0.8486
190, 0.4622, 0.8370 ,0.4234 ,0.8573
189, 0.4556, 0.8396 ,0.4311 ,0.8500
189, 0.4569, 0.8384 ,0.4173 ,0.8578
190, 0.4552, 0.8416 ,0.4299 ,0.8540
191, 0.4569, 0.8372 ,0.4277 ,0.8544
191, 0.4510, 0.8411 ,0.4152 ,0.8606
192, 0.4528, 0.8375 ,0.4062 ,0.8619
193, 0.4526, 0.8404 ,0.4278 ,0.8560
193, 0.4508, 0.8422 ,0.4220 ,0.8563
195, 0.4535, 0.8413 ,0.4116 ,0.8619
204, 0.4475, 0.8421 ,0.4133 ,0.8607
213, 0.4489, 0.8424 ,0.4264 ,0.8574
212, 0.4489, 0.8418 ,0.4376 ,0.8529
200, 0.4445, 0.8442 ,0.4129 ,0.8605
192, 0.4435, 0.8443 ,0.4103 ,0.8604
191, 0.4466, 0.8442 ,0.4062 ,0.8627
192, 0.4379, 0.8458 ,0.4202 ,0.8585
193, 0.4413, 0.8441 ,0.4150 ,0.8570
192, 0.4357, 0.8451 ,0.4208 ,0.8541
191, 0.4400, 0.8449 ,0.4036 ,0.8625
190, 0.4400, 0.8468 ,0.4145 ,0.8606
190, 0.4362, 0.8459 ,0.4153 ,0.8574
189, 0.4362, 0.8455 ,0.4254 ,0.8578
190, 0.4312, 0.8494 ,0.4376 ,0.8538
189, 0.4291, 0.8501 ,0.4039 ,0.8623
190, 0.4341, 0.8478 ,0.4045 ,0.8645
190, 0.4248, 0.8504 ,0.4175 ,0.8589
189, 0.4323, 0.8487 ,0.4015 ,0.8668
190, 0.4260, 0.8512 ,0.4018 ,0.8660
189, 0.4268, 0.8499 ,0.4011 ,0.8618
190, 0.4266, 0.8495 ,0.3946 ,0.8666
189, 0.4203, 0.8513 ,0.4054 ,0.8615
189, 0.4186, 0.8519 ,0.4027 ,0.8651
190, 0.4259, 0.8498 ,0.4003 ,0.8647
202, 0.4220, 0.8518 ,0.4042 ,0.8596
209, 0.4149, 0.8532 ,0.4024 ,0.8634
212, 0.4198, 0.8525 ,0.4074 ,0.8609
195, 0.4167, 0.8541 ,0.3983 ,0.8671
190, 0.4216, 0.8519 ,0.4109 ,0.8608
189, 0.4164, 0.8550 ,0.4075 ,0.8619
189, 0.4096, 0.8560 ,0.4018 ,0.8626
190, 0.4133, 0.8552 ,0.4095 ,0.8625
189, 0.4204, 0.8531 ,0.4105 ,0.8604
189, 0.4121, 0.8556 ,0.4062 ,0.8621
189, 0.4146, 0.8543 ,0.4011 ,0.8658
189, 0.4105, 0.8553 ,0.3913 ,0.8655
191, 0.4058, 0.8580 ,0.4072 ,0.8624
190, 0.4109, 0.8563 ,0.4056 ,0.8636
190, 0.4102, 0.8538 ,0.3872 ,0.8698
189, 0.4086, 0.8564 ,0.3951 ,0.8670
190, 0.4035, 0.8574 ,0.3998 ,0.8657
189, 0.4049, 0.8574 ,0.4036 ,0.8657
188, 0.4086, 0.8548 ,0.4063 ,0.8615
189, 0.4065, 0.8555 ,0.3996 ,0.8619
189, 0.4024, 0.8575 ,0.3904 ,0.8690
189, 0.3986, 0.8602 ,0.3957 ,0.8644
190, 0.4060, 0.8565 ,0.4015 ,0.8620
191, 0.4019, 0.8591 ,0.4167 ,0.8588
191, 0.3983, 0.8592 ,0.3955 ,0.8649
190, 0.3949, 0.8593 ,0.3880 ,0.8682
190, 0.3963, 0.8600 ,0.3861 ,0.8703
190, 0.3941, 0.8616 ,0.3889 ,0.8695
190, 0.3966, 0.8607 ,0.3924 ,0.8652
190, 0.3954, 0.8621 ,0.3884 ,0.8672
190, 0.3957, 0.8615 ,0.3888 ,0.8708
190, 0.3961, 0.8612 ,0.3828 ,0.8705
198, 0.3958, 0.8604 ,0.3905 ,0.8691
208, 0.3934, 0.8615 ,0.3842 ,0.8696
209, 0.3862, 0.8643 ,0.3949 ,0.8670
199, 0.3919, 0.8629 ,0.3886 ,0.8715
188, 0.3952, 0.8615 ,0.3879 ,0.8681
188, 0.3836, 0.8654 ,0.3866 ,0.8694
188, 0.3822, 0.8647 ,0.3847 ,0.8711
